global_id,camera,local_track_id,confidence,start_frame,end_frame
1,A,1,1.00,12,12
1,B,2,0.66,12,12
1,A,1,0.66,12,13
1,B,2,0.67,12,13
1,A,1,0.68,12,14
1,B,2,0.69,12,14
1,A,1,0.69,12,15
1,B,2,0.70,12,15
1,A,1,0.70,12,16
1,B,2,0.71,12,16
1,A,1,0.71,12,17
1,B,2,0.71,12,17
1,A,1,0.72,12,18
1,B,2,0.72,12,18
1,A,1,0.72,12,19
1,B,2,0.72,12,19
1,A,1,0.73,12,20
1,B,2,0.73,12,20
1,A,1,0.73,12,21
1,B,2,0.74,12,21
1,A,1,0.74,12,22
1,B,2,0.74,12,22
1,A,1,0.74,12,23
1,B,2,0.75,12,23
1,A,1,0.75,12,24
1,B,2,0.75,12,24
1,A,1,0.75,12,25
1,B,2,0.75,12,25
2,B,5,1.00,25,25
1,A,1,0.75,12,26
1,B,2,0.76,12,26
2,B,5,0.99,25,26
1,A,1,0.76,12,27
1,B,2,0.76,12,27
2,B,5,1.00,25,27
1,A,1,0.76,12,28
1,B,2,0.76,12,28
2,B,5,1.00,25,28
1,A,1,0.76,12,29
1,B,2,0.77,12,29
2,B,5,1.00,25,29
1,A,1,0.77,12,30
1,B,2,0.77,12,30
2,B,5,1.00,25,30
1,A,1,0.77,12,31
1,B,2,0.78,12,31
2,B,5,1.00,25,31
1,A,1,0.78,12,32
1,B,2,0.78,12,32
2,B,5,1.00,25,32
1,A,1,0.78,12,33
1,B,2,0.78,12,33
2,B,5,1.00,25,33
1,A,1,0.79,12,34
1,B,2,0.79,12,34
2,B,5,1.00,25,34
1,A,1,0.79,12,35
1,B,2,0.79,12,35
2,B,5,1.00,25,35
1,A,1,0.79,12,36
1,B,2,0.79,12,36
2,B,5,1.00,25,36
1,A,1,0.79,12,37
1,B,2,0.79,12,37
2,B,5,1.00,25,37
1,A,1,0.80,12,38
1,B,2,0.80,12,38
2,B,5,1.00,25,38
1,A,1,0.80,12,39
1,B,2,0.80,12,39
2,B,5,1.00,25,39
1,A,1,0.80,12,40
1,B,2,0.80,12,40
2,B,5,1.00,25,40
1,A,1,0.80,12,41
1,B,2,0.80,12,41
2,B,5,1.00,25,41
1,A,1,0.80,12,42
1,B,2,0.80,12,42
2,B,5,1.00,25,42
1,A,1,0.80,12,43
1,B,2,0.80,12,43
2,B,5,1.00,25,43
1,A,1,0.80,12,44
1,B,2,0.80,12,44
2,B,5,1.00,25,44
1,A,1,0.81,12,45
1,B,2,0.81,12,45
2,B,5,1.00,25,45
1,A,1,0.81,12,46
1,B,2,0.81,12,46
2,B,5,1.00,25,46
1,A,1,0.81,12,47
1,B,2,0.81,12,47
2,B,5,1.00,25,47
1,A,1,0.81,12,48
1,B,2,0.81,12,48
2,B,5,1.00,25,48
1,A,1,0.81,12,49
1,B,2,0.81,12,49
2,B,5,1.00,25,49
1,A,1,0.81,12,50
1,B,2,0.81,12,50
2,B,5,1.00,25,50
1,A,1,0.81,12,51
1,B,2,0.81,12,51
2,B,5,1.00,25,51
1,A,1,0.81,12,52
1,B,2,0.81,12,52
2,B,5,1.00,25,52
1,A,1,0.82,12,53
1,B,2,0.81,12,53
2,B,5,1.00,25,53
1,A,1,0.82,12,54
1,B,2,0.82,12,54
2,B,5,1.00,25,54
1,A,1,0.82,12,55
1,B,2,0.82,12,55
2,B,5,1.00,25,55
1,A,1,0.82,12,56
1,B,2,0.82,12,56
2,B,5,1.00,25,56
1,A,1,0.82,12,57
1,B,2,0.82,12,57
2,B,5,1.00,25,57
1,A,1,0.82,12,58
1,B,2,0.82,12,58
2,B,5,1.00,25,58
1,A,1,0.82,12,59
1,B,2,0.82,12,59
2,B,5,1.00,25,59
1,A,1,0.82,12,60
1,B,2,0.82,12,60
2,B,5,1.00,25,60
1,A,1,0.83,12,61
1,B,2,0.83,12,61
2,B,5,1.00,25,61
1,A,1,0.83,12,62
1,B,2,0.83,12,62
2,B,5,1.00,25,62
1,A,1,0.83,12,63
1,B,2,0.83,12,63
2,B,5,1.00,25,63
1,A,1,0.83,12,64
1,B,2,0.83,12,64
2,B,5,1.00,25,64
1,A,1,0.83,12,65
1,B,2,0.83,12,65
2,B,5,1.00,25,65
1,A,1,0.83,12,66
1,B,2,0.83,12,66
2,B,5,1.00,25,66
1,A,1,0.83,12,67
1,B,2,0.83,12,67
2,B,5,1.00,25,67
1,A,1,0.83,12,68
1,B,2,0.84,12,68
2,B,5,1.00,25,68
1,A,1,0.84,12,69
1,B,2,0.84,12,69
2,B,5,1.00,25,69
1,A,1,0.84,12,70
1,B,2,0.84,12,70
2,B,5,1.00,25,70
1,A,1,0.84,12,71
1,B,2,0.84,12,71
2,B,5,1.00,25,71
1,A,1,0.84,12,72
1,B,2,0.84,12,72
2,B,5,1.00,25,72
1,A,1,0.84,12,73
1,B,2,0.84,12,73
2,B,5,1.00,25,73
1,A,1,0.84,12,74
1,B,2,0.84,12,74
2,B,5,1.00,25,74
1,A,1,0.84,12,75
1,B,2,0.84,12,75
